"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"226",0.95,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"227",0.95,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"228",0.95,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"229",1,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"230",1,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"231",1,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"232",1,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"233",1,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"234",1,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"235",1,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"236",1,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"237",1,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"238",1,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"239",1,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"240",1,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
